Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10588540,A001567452,CL 25 S- KR 69  02,2023-03-06,Lunes,5,50,KENNEDY,Choque,Desconocido,Desconocido,Solo Daños,Solo Daños,
10588542,A001567125,KR 19 - CL 118  02,2023-03-08,Miércoles,9,38,USAQUEN,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10588544,A001519528,CL 44 S- KR 7 E 02,2023-03-08,Miércoles,14,45,SAN CRISTOBAL,Choque,Objeto Fijo,Vehiculo estacionado,Solo Daños,Solo Daños,
10588547,A001568220,CL 152 - KR 58 C 02,2023-03-08,Miércoles,20,0,SUBA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10589634,A001567453,KR 104 - CL 75 C 02,2023-04-06,Jueves,6,50,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589636,A001568862,AC 1 - KR 22  02,2023-04-08,Sábado,6,47,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589637,A001568999,CL 57 R S- KR 76  02,2023-04-08,Sábado,17,8,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589642,A001567111,CL 162 - KR 17 A 02,2023-04-09,Domingo,13,44,USAQUEN,Choque,Semoviente,Desconocido,Solo Daños,Solo Daños,
10589643,A001569022,CL 187 - KR 13  02,2023-04-05,Miércoles,13,51,USAQUEN,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590397,A001570061,KR 72 - CL 19  02,2023-04-25,Martes,6,17,FONTIBON,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590405,A001569919,KR 91 - CL 46 S 02,2023-04-26,Miércoles,20,46,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590421,A001570044,KR 88 C - CL 60 S 02,2023-04-26,Miércoles,15,20,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590424,A001569690,AK 86 - CL 65 BIS 02,2023-04-24,Lunes,17,1,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590425,A001570029,CL 25 - KR 34  02,2023-04-25,Martes,18,30,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10591304,A001570882,KR 89 - CL 6 D 02,2023-05-25,Jueves,3,50,KENNEDY,Choque,Objeto Fijo,Semaforo,Solo Daños,Solo Daños,
